population,households,median_income,median_house_value,total_bedrooms,total_rooms,latitude,longitude,housing_median_age
1401,545,31406.0,111600.0,633,633,36.342856,-80.86862740000001,42.0
864,322,46829.0,92700.0,361,361,36.303185799999994,-80.86346809999999,50.0
864,317,73594.0,131100.0,369,369,36.250952399999996,-80.86618,69.0
1816,651,55234.0,175000.0,763,763,36.2511986,-80.8437469,59.0
1095,464,47045.0,108600.0,585,585,36.4375141,-80.6887053,38.0
1143,390,47500.0,117600.0,437,437,36.3838614,-80.6681662,31.0
1611,624,45909.0,151500.0,672,672,36.411139399999996,-80.74590859999999,41.0
1244,396,58571.0,126000.0,419,419,36.3730073,-80.7384314,34.0
821,355,45893.0,130200.0,377,377,36.3666516,-80.702473,27.0
1792,617,36763.0,107800.0,793,793,36.3131774,-80.72773259999998,36.0
1726,712,33929.0,112200.0,782,782,36.397830299999995,-80.6294715,36.0
1989,809,47361.0,96000.0,900,900,36.306769700000004,-80.653429,30.0
1867,719,53490.0,118200.0,857,857,36.3279586,-80.5867419,39.0
1550,623,56042.0,146700.0,669,669,36.3981907,-80.46644079999999,40.0
852,384,36646.0,164300.0,457,457,36.3624428,-80.4651688,44.0
1230,516,45086.0,126200.0,658,658,36.521172,-80.4749297,32.0
784,294,41346.0,113300.0,322,322,36.491708,-80.4631491,33.0
1377,523,43984.0,118900.0,608,608,36.4642866,-80.51153149999999,28.0
1492,635,35677.0,128800.0,698,698,36.4110972,-80.5413539,40.0
876,330,32115.0,86200.0,414,414,36.5432163,-80.56150600000001,36.0
1216,590,26638.0,75400.0,684,684,36.5080046,-80.58218029999999,48.0
1179,494,33611.0,98900.0,512,512,36.4589396,-80.5733709,27.0
1109,429,38750.0,116900.0,457,457,36.488328,-80.5889078,47.0
993,451,50139.0,106300.0,514,514,36.549105700000005,-80.5945303,38.0
1562,689,19338.0,102000.0,805,805,36.5053068,-80.6103818,56.0
1172,553,47298.0,164500.0,655,655,36.516904600000004,-80.5999056,38.0
1355,616,33214.0,160100.0,864,864,36.4959523,-80.6084443,72.0
1366,459,17198.0,84100.0,566,566,36.4873785,-80.603513,47.0
947,373,57361.0,130200.0,448,448,36.5418714,-80.6353354,49.0
1016,351,48472.0,110700.0,351,351,36.507339,-80.6527313,35.0
876,364,28594.0,84800.0,409,409,36.5056136,-80.631929,40.0
740,324,29766.0,92900.0,399,399,36.4898143,-80.62921390000001,53.0
1068,459,36927.0,96000.0,599,599,36.4561366,-80.61484509999998,40.0
839,350,52143.0,157700.0,388,388,36.47296420000001,-80.6634176,26.0
1143,530,29363.0,87800.0,568,568,36.5199028,-80.73304040000001,38.0
1326,502,66429.0,152200.0,554,554,36.496778000000006,-80.6854223,36.0
868,336,57321.0,131700.0,362,362,36.472562100000005,-80.72480859999999,29.0
812,346,46667.0,84400.0,377,377,36.5403747,-80.7693142,25.0
1705,647,29679.0,129200.0,728,728,36.5013877,-80.79193609999999,27.0
1017,433,50625.0,117600.0,464,464,36.3767785,-80.8131359,27.0
831,340,29375.0,84300.0,591,591,36.2672477,-80.8553979,41.0
1657,715,53024.0,161500.0,772,772,36.3014527,-80.8227531,39.0
1369,495,36838.0,115100.0,560,560,36.3999853,-80.7035818,41.0
1389,479,63417.0,134000.0,585,585,36.3231086,-80.7755958,31.0
1152,412,51857.0,111100.0,473,473,36.4041015,-80.58476040000001,31.0
1824,727,52009.0,135300.0,816,816,36.2961037,-80.4972325,32.0
1583,546,71302.0,176800.0,715,715,36.3600713,-80.4977578,32.0
1765,610,47879.0,156900.0,765,765,36.4385055,-80.4800738,25.0
990,414,45000.0,70300.0,483,483,36.538207899999996,-80.5338818,28.0
882,457,38352.0,110700.0,559,559,36.490299799999995,-80.5674725,33.0
749,377,25208.0,108900.0,471,471,36.5194156,-80.62689959999999,35.0
1160,485,64306.0,262700.0,522,522,36.5475477,-80.6149166,35.0
789,381,41551.0,168600.0,434,434,36.5193457,-80.60908570000001,65.0
1928,775,46792.0,135100.0,821,821,36.5442157,-80.65810490000001,29.0
1343,570,34750.0,101800.0,679,679,36.4760898,-80.62408459999999,54.0
887,341,40850.0,104900.0,454,454,36.522446200000005,-80.6939699,38.0
1723,651,29125.0,136300.0,1023,1023,36.487531,-80.8740743,45.0
1245,498,28333.0,111000.0,738,738,35.437097200000004,-83.4667799,36.0
1010,434,47344.0,159300.0,680,680,35.46245089999999,-83.46294909999999,28.0
1064,402,31583.0,64500.0,566,566,35.5454448,-83.25513149999999,28.0
1102,456,40000.0,114300.0,608,608,35.496041399999996,-83.3042437,33.0
1229,453,43657.0,166800.0,1016,1016,35.4129521,-83.56751340000001,32.0
900,374,32209.0,163200.0,956,956,35.307869000000004,-83.61642979999999,39.0
1927,682,34273.0,167800.0,1483,1483,35.3751255,-83.3713825,24.0
1061,448,45053.0,124500.0,583,583,35.3387121,-83.45677359999999,38.0
763,341,27463.0,117200.0,460,460,35.4474756,-83.4219548,30.0
2968,963,43802.0,107600.0,1242,1242,35.471425,-83.363433,33.0
985,392,29000.0,128200.0,577,577,35.422149299999994,-83.44662840000001,44.0
0,0,,,42,42,35.5108912,-83.52026550000001,
727,260,40625.0,191500.0,281,281,35.324164700000004,-82.706753,34.0
2687,1013,41286.0,161500.0,1138,1138,35.280671500000004,-82.6803738,39.0
2033,902,70208.0,309000.0,1194,1194,35.220504299999995,-82.6830515,33.0
1752,970,68103.0,282800.0,1647,1647,35.1452875,-82.74271170000002,30.0
2039,874,48173.0,190000.0,1177,1177,35.171051899999995,-82.65133900000001,29.0
1702,668,40262.0,175900.0,766,766,35.2100794,-82.816653,42.0
957,364,63889.0,225000.0,463,463,35.175434,-82.778726,40.0
1517,682,42755.0,151100.0,1091,1091,35.0918814,-82.830846,31.0
929,269,33828.0,,372,372,35.25977,-82.7056314,51.0
985,500,47664.0,218900.0,809,809,35.225126700000004,-82.72938590000001,61.0
1448,641,36370.0,210500.0,694,694,35.2265056,-82.71724909999999,61.0
478,286,30313.0,247300.0,286,286,35.2208227,-82.7354892,61.0
1619,757,72804.0,261500.0,1011,1011,35.2613316,-82.75110749999999,26.0
805,317,36656.0,178700.0,465,465,35.2315486,-82.73904279999999,59.0
1158,488,39022.0,166600.0,1185,1185,35.0814213,-82.94299029999999,28.0
696,328,51136.0,346600.0,1081,1081,35.1567026,-82.96164959999999,29.0
2095,890,46442.0,221300.0,1045,1045,35.242192200000005,-82.634261,28.0
1273,522,56125.0,206700.0,610,610,35.2862544,-82.6379794,40.0
499,262,37708.0,220300.0,495,495,35.11476629999999,-82.71623790000001,28.0
722,259,27104.0,,503,503,35.2503574,-82.8704007,39.0
1356,582,36719.0,183300.0,771,771,35.245014700000006,-82.71479029999999,44.0
1116,404,49083.0,236900.0,404,404,35.2093467,-82.72884640000001,47.0
1692,640,67864.0,220300.0,686,686,35.1946248,-82.7532627,40.0
2735,1021,35750.0,190500.0,1090,1090,35.2401417,-82.80005809999999,43.0
493,224,46389.0,171700.0,296,296,35.144625399999995,-82.8975358,43.0
894,388,21875.0,77300.0,526,526,35.9341667,-76.23050079999999,56.0
687,380,24934.0,125800.0,426,426,35.9154189,-76.3353019,35.0
1474,389,51528.0,140400.0,632,632,35.961808700000006,-76.13614220000001,38.0
1064,474,48333.0,102400.0,645,645,35.7552958,-76.1936375,38.0
0,0,,,0,0,36.024073,-76.09420779999999,
1206,438,51713.0,117000.0,491,491,35.0006282,-80.3608058,53.0
1709,629,47534.0,138000.0,727,727,34.9650472,-80.3584872,48.0
637,261,56726.0,176400.0,283,283,35.0163731,-80.31947640000001,43.0
2315,783,78967.0,290000.0,838,838,35.064927000000004,-80.5652984,23.0
2136,741,75126.0,188000.0,741,741,35.0660436,-80.5090891,27.0
1838,673,73563.0,178800.0,769,769,35.0992074,-80.4983169,37.0
2948,885,80404.0,193900.0,934,934,34.8773078,-80.6035217,23.0
1835,704,50403.0,134800.0,756,756,34.855819,-80.5721489,35.0
2577,749,80923.0,195900.0,749,749,34.8328311,-80.67013109999999,31.0
2799,868,73333.0,247000.0,989,989,35.1157612,-80.37389399999999,36.0
1636,560,63698.0,182500.0,794,794,35.1141186,-80.316365,36.0
2311,894,63750.0,237700.0,969,969,35.074828499999995,-80.44679670000001,22.0
1433,519,90551.0,292100.0,519,519,35.1743251,-80.5614853,24.0
1675,575,58984.0,190000.0,692,692,35.1598297,-80.478871,31.0
1097,487,39606.0,218600.0,535,535,35.1327222,-80.56403540000001,37.0
2308,809,69375.0,189100.0,829,829,35.1038062,-80.6071108,18.0
4113,1319,98586.0,257400.0,1349,1349,35.079313299999995,-80.5915833,10.0
2724,947,79570.0,171800.0,988,988,35.076860100000005,-80.6248487,20.0
1616,469,37610.0,206000.0,469,469,35.067972499999996,-80.6119632,20.0
